flow_id,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,total_bytes,avg_packet_size,max_packet_size,min_packet_size,duration,avg_interval,interval_variance,avg_ttl,syn_count,ack_count,fin_count,rst_count,psh_count,unique_ports,label,confidence,reason
172.27.152.109:60070 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,60070,53,UDP,2,499,249.5,424,75,0.008085,0.008085,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:57424 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,57424,53,UDP,2,225,112.5,149,76,0.02237,0.02237,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:57514 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,57514,53,UDP,2,612,306.0,536,76,0.051051,0.051051,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:52249 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,52249,53,UDP,2,351,175.5,285,66,1.215004,1.215004,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:55143 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,55143,53,UDP,2,343,171.5,281,62,0.019187,0.019187,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:54998 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,54998,53,UDP,2,232,116.0,166,66,2.442468,2.442468,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:51170 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,51170,53,UDP,2,351,175.5,285,66,1.210804,1.210804,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:60821 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,60821,53,UDP,2,351,175.5,285,66,0.18991,0.18991,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:60008 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,60008,53,UDP,2,232,116.0,166,66,1.410773,1.410773,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:54562 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,54562,53,UDP,2,351,175.5,285,66,0.189352,0.189352,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:61439 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,61439,53,UDP,2,351,175.5,285,66,0.112906,0.112906,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:64356 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,64356,53,UDP,2,343,171.5,281,62,0.04407,0.04407,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:59162 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,59162,53,UDP,2,529,264.5,458,71,0.024378,0.024378,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:60643 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,60643,53,UDP,2,491,245.5,420,71,0.024155,0.024155,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:52934 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,52934,53,UDP,2,229,114.5,171,58,1.226098,1.226098,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:52446 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,52446,53,UDP,2,351,175.5,285,66,0.040912,0.040912,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:58107 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,58107,53,UDP,2,243,121.5,179,64,2.110084,2.110084,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:56845 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,56845,53,UDP,2,228,114.0,164,64,0.471431,0.471431,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:62549 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,62549,53,UDP,2,229,114.5,171,58,0.215516,0.215516,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:57426 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,57426,53,UDP,2,270,135.0,205,65,2.4198,2.4198,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:61836 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,61836,53,UDP,2,271,135.5,206,65,0.011182,0.011182,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:51616 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,51616,53,UDP,2,289,144.5,220,69,2.414646,2.414646,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:57125 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,57125,53,UDP,2,282,141.0,213,69,0.01738,0.01738,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:57456 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,57456,53,UDP,2,351,175.5,285,66,0.007133,0.007133,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:64099 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,64099,53,UDP,2,351,175.5,285,66,0.006888,0.006888,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:58766 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,58766,53,UDP,2,231,115.5,167,64,2.43032,2.43032,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:65394 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,65394,53,UDP,2,185,92.5,121,64,0.010214,0.010214,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:51859 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,51859,53,UDP,2,185,92.5,121,64,0.008672,0.008672,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:50773 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,50773,53,UDP,2,249,124.5,189,60,4.815765,4.815765,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:65199 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,65199,53,UDP,2,328,164.0,268,60,0.022723,0.022723,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:56097 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,56097,53,UDP,2,302,151.0,228,74,4.815426,4.815426,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:56003 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,56003,53,UDP,2,381,190.5,307,74,0.022411,0.022411,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:50729 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,50729,53,UDP,2,268,134.0,209,59,1.789739,1.789739,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:52421 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,52421,53,UDP,2,234,117.0,175,59,0.207001,0.207001,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:62267 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,62267,53,UDP,4,552,138.0,258,61,4.843571,1.614524,0.083343,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:53710 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,53710,53,UDP,2,181,90.5,120,61,1.214713,1.214713,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:60455 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,60455,53,UDP,2,221,110.5,159,62,4.843241,4.843241,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:65221 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,65221,53,UDP,2,297,148.5,235,62,0.014488,0.014488,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:53929 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,53929,53,UDP,2,277,138.5,210,67,4.830611,4.830611,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:52076 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,52076,53,UDP,2,356,178.0,289,67,0.015657,0.015657,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:57178 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,57178,53,UDP,2,218,109.0,159,59,2.414106,2.414106,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:53401 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,53401,53,UDP,2,172,86.0,113,59,0.020476,0.020476,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:59118 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,59118,53,UDP,2,260,130.0,196,64,2.413706,2.413706,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:52688 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,52688,53,UDP,2,214,107.0,150,64,0.032895,0.032895,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:49664 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,49664,53,UDP,2,224,112.0,162,62,2.419821,2.419821,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:64955 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,64955,53,UDP,2,178,89.0,116,62,0.019504,0.019504,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:55098 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,55098,53,UDP,2,261,130.5,198,63,2.426998,2.426998,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:64441 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,64441,53,UDP,2,215,107.5,152,63,1.230597,1.230597,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:58371 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,58371,53,UDP,2,224,112.0,163,61,3.832196,3.832196,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:62373 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,62373,53,UDP,2,181,90.5,120,61,0.203213,0.203213,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:57538 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,57538,53,UDP,2,261,130.5,198,63,1.413289,1.413289,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:57917 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,57917,53,UDP,2,215,107.5,152,63,0.216764,0.216764,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:51805 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,51805,53,UDP,2,185,92.5,121,64,0.015562,0.015562,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
