序号,总距离(km),城市数,路径
143,2507.00,4,北京->长沙->贵阳->成都
144,2512.00,4,北京->南京->长沙->成都
145,2528.00,4,北京->南京->南昌->成都
146,2529.00,4,北京->武汉->郑州->成都
147,2547.00,4,北京->呼和浩特->武汉->成都
148,2552.00,4,北京->西安->武汉->成都
149,2553.00,4,北京->西安->太原->成都
150,2569.00,4,北京->银川->太原->成都
151,2578.00,4,北京->呼和浩特->贵阳->成都
152,2592.00,4,北京->郑州->南京->成都
153,2600.00,4,北京->合肥->贵阳->成都
154,2604.00,4,北京->西安->长沙->成都
155,2624.00,4,北京->长沙->武汉->成都
156,2625.00,4,北京->武汉->合肥->成都
157,2631.00,4,北京->太原->南昌->成都
158,2632.00,4,北京->郑州->呼和浩特->成都
159,2637.00,4,北京->西宁->西安->成都
160,2642.00,4,北京->重庆->西安->成都
161,2651.00,4,北京->西宁->银川->成都
162,2666.00,4,北京->杭州->武汉->成都
163,2666.00,3,北京->杭州->成都
164,2672.00,4,北京->天津->杭州->成都
165,2675.00,4,北京->济南->杭州->成都
166,2676.00,4,北京->南京->杭州->成都
167,2678.00,4,北京->银川->郑州->成都
168,2678.00,4,北京->太原->南京->成都
169,2699.00,4,北京->南昌->贵阳->成都
170,2706.00,4,北京->杭州->重庆->成都
171,2712.00,4,北京->郑州->天津->成都
172,2715.00,4,北京->杭州->合肥->成都
173,2723.00,4,北京->呼和浩特->长沙->成都
174,2723.00,4,北京->银川->贵阳->成都
175,2724.00,3,北京->上海->成都
176,2726.00,4,北京->石家庄->昆明->成都
177,2726.00,4,北京->天津->上海->成都
178,2726.00,4,北京->重庆->昆明->成都
179,2726.00,3,北京->昆明->成都
180,2727.00,4,北京->长沙->西安->成都
181,2730.00,4,北京->上海->合肥->成都
182,2731.00,4,北京->上海->武汉->成都
183,2734.00,4,北京->杭州->南昌->成都
184,2739.00,4,北京->上海->南京->成都
185,2740.00,4,北京->西安->昆明->成都
186,2741.00,4,北京->南京->贵阳->成都
187,2745.00,4,北京->太原->昆明->成都
188,2745.00,3,北京->沈阳->成都
189,2746.00,4,北京->沈阳->天津->成都
190,2746.00,4,北京->沈阳->西安->成都
191,2748.00,4,北京->沈阳->石家庄->成都
192,2754.00,4,北京->济南->上海->成都
193,2759.00,4,北京->南昌->西安->成都
194,2762.00,4,北京->杭州->长沙->成都
195,2763.00,4,北京->沈阳->太原->成都
196,2764.00,4,北京->合肥->杭州->成都
197,2764.00,4,北京->郑州->昆明->成都
198,2770.00,4,北京->杭州->南京->成都
199,2772.00,4,北京->银川->呼和浩特->成都
200,2774.00,4,北京->上海->杭州->成都
201,2776.00,4,北京->上海->重庆->成都
202,2782.00,4,北京->沈阳->郑州->成都
203,2783.00,4,北京->呼和浩特->合肥->成都
204,2786.00,4,北京->沈阳->济南->成都
205,2786.00,4,北京->长沙->南昌->成都
206,2794.00,4,北京->兰州->贵阳->成都
207,2798.00,4,北京->贵阳->昆明->成都
208,2798.00,4,北京->合肥->济南->成都
209,2800.00,4,北京->武汉->兰州->成都
210,2805.00,4,北京->南京->济南->成都
211,2811.00,4,北京->天津->昆明->成都
