generation,bestFitness,averageFitness
0,5690.774280,3447.402670
1,5690.774280,3569.529989
2,5690.774280,3724.509059
3,5690.774280,3863.251925
4,5690.774280,4227.719477
5,5690.774280,4668.408586
6,5690.774280,4974.715501
7,5690.774280,5126.783496
8,5690.774280,5197.046773
9,5690.774280,5214.983364
10,5690.774280,5221.540895
11,5690.774280,5244.562378
12,5690.774280,5281.902572
13,5690.774280,5298.867802
14,5690.774280,5377.697084
15,5690.774280,5346.268733
16,5690.774280,5321.615176
17,5690.774280,5255.164451
18,5690.774280,5267.053952
19,5690.774280,5325.316920
20,5690.774280,5323.547614
21,5690.774280,5352.658040
22,5690.774280,5404.868893
23,5690.774280,5372.151427
24,5690.774280,5356.147982
25,5690.774280,5360.994205
26,5690.774280,5326.951336
27,5690.774280,5346.250532
28,5690.774280,5363.381449
29,5690.774280,5363.823048
30,5690.774280,5374.660471
31,5690.774280,5328.946179
32,5690.774280,5316.314360
33,5690.774280,5314.262968
34,5690.774280,5322.323772
35,5690.774280,5329.497031
36,5690.774280,5353.077215
37,5690.774280,5362.522632
38,5690.774280,5370.461421
39,5690.774280,5359.139878
40,5690.774280,5352.052108
41,5690.774280,5380.935922
42,5690.774280,5381.520682
43,5690.774280,5357.559907
44,5690.774280,5350.417950
45,5690.774280,5343.303622
46,5690.774280,5349.219429
47,5690.774280,5323.721190
48,5690.774280,5317.580354
49,5690.774280,5353.570350
50,5690.774280,5335.118218
51,5690.774280,5327.821952
52,5690.774280,5348.776136
53,5690.774280,5335.507870
54,5690.774280,5323.898467
55,5690.774280,5353.073094
56,5690.774280,5341.388489
57,5690.774280,5348.842158
58,5690.774280,5366.991305
59,5690.774280,5360.729686
60,5690.774280,5331.537188
61,5690.774280,5292.076196
62,5690.774280,5293.396064
63,5690.774280,5263.916661
64,5690.774280,5277.230200
65,5690.774280,5249.047295
66,5690.774280,5269.297783
67,5690.774280,5276.220651
68,5690.774280,5287.731880
69,5690.774280,5320.630516
70,5690.774280,5300.366287
71,5690.774280,5338.909736
72,5690.774280,5318.194516
73,5690.774280,5310.025224
74,5690.774280,5275.589917
75,5690.774280,5264.465818
76,5690.774280,5247.990013
77,5690.774280,5288.345782
78,5690.774280,5375.249765
79,5690.774280,5353.216237
80,5690.774280,5294.297174
81,5690.774280,5285.341776
82,5690.774280,5309.711057
83,5690.774280,5338.168513
84,5690.774280,5345.349087
85,5690.774280,5366.150590
86,5690.774280,5327.784500
87,5690.774280,5299.761575
88,5690.774280,5275.952269
89,5690.774280,5259.754953
90,5690.774280,5258.213326
91,5690.774280,5259.235872
92,5690.774280,5226.390771
93,5690.774280,5231.717053
94,5690.774280,5219.682377
95,5690.774280,5252.445021
96,5690.774280,5288.017444
97,5690.774280,5296.671124
98,5690.774280,5268.039171
99,5690.774280,5331.470020
100,5690.774280,5307.437836
101,5690.774280,5349.795262
102,5690.774280,5368.198029
103,5690.774280,5320.428817
104,5690.774280,5319.982283
105,5690.774280,5336.070938
106,5690.774280,5320.221420
107,5690.774280,5280.545987
108,5690.774280,5265.415706
109,5690.774280,5260.712182
110,5690.774280,5255.302150
111,5690.774280,5273.682457
112,5690.774280,5292.774131
113,5690.774280,5273.025512
114,5690.774280,5233.706951
115,5690.774280,5242.747686
116,5690.774280,5219.843115
