generation,bestFitness,averageFitness
0,591.989646,396.567780
1,591.989646,420.193371
2,591.989646,441.199682
3,591.989646,481.354495
4,591.989646,521.818107
5,591.989646,536.166266
6,591.989646,555.778597
7,592.584530,571.137144
8,592.584530,579.256746
9,592.584530,576.784027
10,592.584530,577.531555
11,592.584530,579.258093
12,592.584530,580.189627
13,592.584530,581.367032
14,592.584530,579.133846
15,592.584530,577.880143
16,592.584530,575.953306
17,592.584530,581.348602
18,592.584530,576.386866
19,592.584530,579.049005
20,592.584530,579.136302
21,592.584530,573.273253
22,592.584530,582.082704
23,592.584530,583.715119
24,592.584530,582.167956
25,592.584530,583.339520
26,592.584530,577.172218
27,592.584530,580.823681
28,592.584530,575.473561
29,592.584530,576.497954
30,592.584530,576.183427
31,592.584530,584.281465
32,592.584530,584.121122
33,592.584530,577.482289
34,592.584530,579.419908
35,592.584530,576.246874
36,592.584530,574.762191
37,592.584530,578.353349
38,592.584530,583.772638
39,592.584530,578.528883
40,592.584530,577.087531
41,592.584530,576.689172
42,592.584530,583.577717
43,592.584530,579.248791
44,592.584530,583.411104
45,592.584530,566.361941
46,592.584530,580.525025
47,592.584530,582.175319
48,592.584530,576.349455
49,592.584530,580.348550
50,592.584530,578.792589
51,592.584530,583.429271
52,592.584530,582.994160
53,592.584530,584.730230
54,592.584530,580.546075
55,592.584530,577.302200
56,592.584530,576.546225
57,592.584530,584.403771
58,592.584530,584.803029
59,592.584530,580.076096
60,592.584530,580.010080
61,592.584530,579.105074
62,592.584530,581.544832
63,592.584530,573.018628
64,592.584530,578.494655
65,592.584530,577.799719
66,592.584530,583.626652
67,592.584530,576.662543
68,592.584530,576.943204
69,592.584530,576.993266
70,592.584530,576.527700
71,592.584530,582.618773
72,592.584530,579.063604
73,592.584530,582.134086
74,592.584530,578.571110
75,592.584530,578.721960
76,592.584530,569.535239
77,592.584530,585.596215
78,592.584530,581.737504
79,592.584530,581.086756
80,592.584530,577.331463
81,592.584530,572.971178
82,592.584530,577.255502
83,592.584530,574.839930
84,592.584530,581.320536
85,592.584530,572.686819
86,592.584530,575.830717
87,592.584530,578.832023
88,592.584530,575.230258
89,592.584530,578.801367
90,592.584530,579.541578
91,592.584530,581.360889
92,592.584530,586.482565
93,592.584530,578.849984
94,592.584530,583.213687
95,592.584530,580.061508
96,592.584530,571.666507
97,592.584530,572.536209
98,592.584530,578.591619
99,592.584530,586.695388
100,592.584530,580.120607
101,592.584530,577.114134
102,592.584530,581.362275
103,592.584530,582.021824
104,592.584530,584.759819
105,592.584530,577.357563
106,592.584530,579.945741
107,592.584530,584.113220
108,592.584530,585.271135
109,592.584530,569.264620
110,592.584530,576.724781
111,592.584530,577.205203
112,592.584530,579.541571
113,592.584530,579.765306
114,592.584530,588.732058
115,592.584530,581.616259
116,592.584530,584.034082
117,592.584530,583.942583
118,592.584530,575.799547
119,592.584530,573.167823
120,592.584530,570.610596
121,592.584530,580.144118
122,592.584530,579.246031
123,592.584530,574.788319
124,592.584530,580.534409
125,592.584530,579.907072
126,592.584530,580.078308
127,592.584530,573.592535
128,592.584530,580.696285
129,592.584530,572.303507
130,592.584530,578.472150
131,592.584530,582.061239
132,592.584530,578.885979
133,592.584530,585.435563
134,592.584530,574.629789
135,592.584530,582.340084
136,592.584530,581.576562
137,592.584530,580.342592
138,592.584530,581.745013
139,592.584530,578.730645
140,592.584530,582.840760
141,592.584530,573.336424
142,592.584530,575.911365
143,592.584530,579.481760
144,592.584530,576.935612
145,592.584530,570.650888
146,592.584530,584.338457
147,592.584530,583.974363
148,592.584530,576.124348
149,592.584530,578.561764
150,592.584530,580.493783
151,592.584530,586.298903
152,592.584530,576.586409
153,592.584530,573.517854
154,592.584530,581.313892
155,592.584530,585.777037
156,592.584530,575.450261
157,592.584530,576.242897
158,592.584530,581.183368
159,592.584530,587.043791
160,592.584530,579.942643
161,592.584530,576.746975
162,592.584530,572.035627
163,592.584530,578.826601
164,592.584530,575.773030
165,592.584530,582.744022
166,592.584530,578.136660
167,592.584530,579.366452
168,592.584530,579.443529
169,592.584530,583.841773
170,592.584530,578.264017
171,592.584530,577.706404
172,592.584530,577.326554
173,592.584530,577.270997
174,592.584530,570.334130
175,592.584530,572.220161
176,592.584530,575.506794
177,592.584530,577.624397
178,592.584530,576.668383
179,592.584530,581.964995
180,592.584530,575.258440
181,592.584530,577.152099
182,592.584530,574.570421
183,592.584530,581.122823
184,592.584530,581.341950
185,592.584530,576.715951
186,592.584530,578.999629
187,592.584530,575.129956
188,592.584530,577.327201
189,592.584530,580.624645
190,592.584530,569.199225
191,592.584530,568.511400
192,592.584530,574.750020
193,592.584530,571.943123
194,592.584530,575.928268
195,592.584530,566.318580
196,592.584530,575.185387
197,592.584530,575.850654
198,592.584530,581.589250
199,592.584530,580.219303
200,592.584530,579.521831
201,592.584530,577.418534
202,592.584530,581.619497
203,592.584530,581.750926
204,592.584530,583.644378
205,592.584530,579.906383
206,592.584530,584.771517
207,592.584530,578.267241
208,592.584530,582.776571
209,592.584530,579.074699
210,592.584530,583.936792
211,592.584530,579.633576
212,592.584530,573.068818
213,592.584530,570.768603
214,592.584530,577.529317
215,592.584530,578.923257
216,592.584530,575.332516
217,592.584530,584.933014
218,592.584530,573.201333
219,592.584530,581.268132
220,592.584530,573.403456
221,592.584530,574.660487
222,592.584530,573.753366
223,592.584530,572.338575
224,592.584530,580.510303
225,592.584530,583.627023
226,592.584530,571.280251
227,592.584530,578.929430
228,592.584530,581.402213
229,592.584530,576.230564
230,592.584530,581.635466
231,592.584530,571.880025
232,592.584530,577.533941
233,592.584530,572.020177
234,592.584530,585.198844
235,592.584530,576.743165
236,592.584530,582.810804
237,592.584530,580.715065
238,592.584530,581.747359
239,592.584530,584.258375
240,592.584530,578.190740
241,592.584530,578.145961
242,592.584530,574.965431
243,592.584530,580.802920
244,592.584530,579.776373
245,592.584530,573.436471
246,592.584530,582.359117
247,592.584530,578.989645
248,592.584530,568.717396
249,592.584530,570.775464
250,592.584530,579.918059
251,592.584530,587.714798
252,592.584530,578.061450
253,592.584530,583.678399
254,592.584530,579.495692
255,592.584530,574.095215
256,592.584530,582.397714
257,592.584530,581.829447
258,592.584530,583.869321
259,592.584530,575.047252
260,592.584530,573.248492
261,592.584530,578.913789
262,592.584530,575.064603
263,592.584530,576.909668
264,592.584530,581.856324
265,592.584530,579.797554
266,592.584530,570.099152
267,592.584530,574.619565
268,592.584530,580.250151
269,592.584530,583.284095
270,592.584530,585.567131
271,592.584530,577.446152
272,592.584530,571.085765
273,592.584530,575.856050
274,592.584530,572.490612
