generation,bestFitness,averageFitness
0,10952.477847,6525.869687
1,10952.477847,6824.245043
2,10952.477847,7334.686943
3,10952.477847,8016.283116
4,10952.477847,8988.116528
5,10952.477847,9731.955344
6,10952.477847,10099.210008
7,10952.477847,10126.787067
8,10952.477847,10144.573869
9,10952.477847,10142.931349
10,10952.477847,10086.460957
11,10952.477847,10077.868635
12,10952.477847,10052.990690
13,10952.477847,10043.717363
14,10952.477847,10115.210037
15,10952.477847,10160.814825
16,10952.477847,10119.243221
17,10952.477847,10068.781363
18,10952.477847,10069.832434
19,10952.477847,10059.057236
20,10952.477847,10056.979847
21,10952.477847,10086.992549
22,10952.477847,10072.576249
23,10952.477847,10021.199862
24,10952.477847,10028.031608
25,10952.477847,10089.315513
26,10952.477847,10151.259183
27,10952.477847,10258.326354
28,10952.477847,10170.722380
29,10952.477847,10131.665860
30,10952.477847,10176.840332
31,10952.477847,10169.958599
32,10952.477847,10183.329916
33,10952.477847,10138.420890
34,10952.477847,10143.978327
35,10952.477847,10134.957967
36,10952.477847,10087.194671
37,10952.477847,10054.593840
38,10952.477847,10032.877634
39,10952.477847,10020.571197
40,10952.477847,10001.588101
41,10952.477847,10085.089295
42,10952.477847,10166.443342
43,10952.477847,10212.421513
44,10952.477847,10186.651500
45,10952.477847,10115.873583
46,10952.477847,10118.109122
47,10952.477847,10117.053523
48,10952.477847,10144.929064
49,10952.477847,10089.612666
50,10952.477847,10176.551802
51,10952.477847,10144.889777
52,10952.477847,10178.741923
53,10952.477847,10163.642309
54,10952.477847,10167.374512
55,10952.477847,10152.219706
56,10952.477847,10147.396056
57,10952.477847,10099.672967
58,10952.477847,10069.505583
59,10952.477847,10035.919140
60,10952.477847,10019.842627
61,10952.477847,10060.227276
62,10952.477847,10002.241588
63,10952.477847,9951.027342
64,10952.477847,10054.615828
65,10952.477847,10056.570041
66,10952.477847,10034.449201
67,10952.477847,10123.258556
68,10952.477847,10078.181897
69,10952.477847,10048.021350
70,10952.477847,9949.208939
71,10952.477847,9936.842657
72,10952.477847,9980.477341
73,10952.477847,10097.796636
74,10952.477847,10066.627321
75,10952.477847,10100.018058
76,10952.477847,10037.511076
77,10952.477847,10120.263099
78,10952.477847,10141.600875
79,10952.477847,10111.140035
80,10952.477847,10112.087036
81,10952.477847,10218.376947
82,10952.477847,10225.679959
83,10952.477847,10167.424637
84,10952.477847,10136.538226
85,10952.477847,10152.238934
86,10952.477847,10196.977461
87,10952.477847,10262.446263
88,10952.477847,10264.549918
89,10952.477847,10231.080495
90,10952.477847,10227.106450
91,10952.477847,10217.175532
92,10952.477847,10206.130750
93,10952.477847,10148.684499
94,10952.477847,10076.800805
95,10952.477847,10121.192303
96,10952.477847,10121.972575
97,10952.477847,10129.361931
98,10952.477847,10129.072723
99,10952.477847,10193.798119
100,10952.477847,10218.988780
101,10952.477847,10174.486623
102,10952.477847,10137.818485
103,10952.477847,10236.679013
104,10952.477847,10284.530314
105,10952.477847,10283.397452
106,10952.477847,10184.625797
107,10952.477847,10091.503745
108,10952.477847,10109.660687
109,10952.477847,10104.171528
110,10952.477847,10070.357174
111,10952.477847,10103.709264
112,10952.477847,10118.448415
113,10952.477847,10124.187484
114,10952.477847,10190.154126
115,10952.477847,10268.688834
116,10952.477847,10222.178146
117,10952.477847,10158.086366
118,10952.477847,10114.573483
119,10952.477847,10105.682889
120,10952.477847,10182.375915
121,10952.477847,10168.964676
122,10952.477847,10054.098329
123,10952.477847,9946.796392
124,10952.477847,9934.709271
125,10952.477847,10029.703095
126,10952.477847,10100.779915
127,10952.477847,10194.518777
128,10952.477847,10154.993314
129,10952.477847,10105.416923
130,10952.477847,10155.634098
131,10952.477847,10114.843593
132,10952.477847,10102.764155
133,10952.477847,10058.135471
134,10952.477847,10017.517777
135,10952.477847,10041.185558
136,10952.477847,10079.467106
137,10952.477847,10161.021197
138,10952.477847,10225.456865
139,10952.477847,10211.866048
140,10952.477847,10259.010387
141,10952.477847,10226.204727
142,10952.477847,10204.210523
143,10952.477847,10162.749553
144,10952.477847,10144.991954
145,10952.477847,10096.486938
146,10952.477847,10058.952024
147,10952.477847,10052.416726
148,10952.477847,9993.732760
149,10952.477847,10002.108103
150,10952.477847,9976.483084
151,10952.477847,9937.693146
152,10952.477847,9865.835752
153,10952.477847,9852.910159
154,10952.477847,9834.004300
155,10952.477847,9873.918458
156,10952.477847,9988.641809
157,10952.477847,10017.604492
158,10952.477847,10020.800816
159,10952.477847,10059.071654
160,10952.477847,10063.763323
161,10952.477847,10072.002127
162,10952.477847,10106.541237
163,10952.477847,10131.659572
164,10952.477847,10116.391871
165,10952.477847,10240.493596
166,10952.477847,10257.855667
167,10952.477847,10201.130697
168,10952.477847,10141.643353
169,10952.477847,10060.101306
170,10952.477847,9989.592854
171,10952.477847,9965.243129
172,10952.477847,10018.305319
173,10952.477847,10097.869536
174,10952.477847,10079.411079
175,10952.477847,10103.905796
176,10952.477847,10107.887860
177,10952.477847,10062.098430
178,10952.477847,10049.460733
179,10952.477847,10045.546767
180,10952.477847,10109.863638
181,10952.477847,10182.728197
182,10952.477847,10187.615864
183,10952.477847,10135.010250
184,10952.477847,10131.681100
185,10952.477847,10117.470158
186,10952.477847,10065.191342
187,10952.477847,10040.244801
188,10952.477847,10018.218124
189,10952.477847,10043.281355
190,10952.477847,10044.133880
191,10952.477847,10058.182836
192,10952.477847,9969.743270
193,10952.477847,9985.726209
194,10952.477847,10027.230792
195,10952.477847,10034.671994
196,10952.477847,10015.802761
197,10952.477847,10049.638989
198,10952.477847,9996.063193
199,10952.477847,9995.944297
200,10952.477847,10090.655524
201,10952.477847,10125.817106
202,10952.477847,10154.063232
203,10952.477847,10121.778357
204,10952.477847,10128.236601
205,10952.477847,10098.251773
206,10952.477847,10080.563262
207,10952.477847,10059.615858
208,10952.477847,10016.305208
209,10952.477847,9984.819404
210,10952.477847,9994.011065
211,10952.477847,10090.157614
212,10952.477847,10078.233317
213,10952.477847,10043.207939
214,10952.477847,10069.349936
215,10952.477847,10157.464876
216,10952.477847,10174.134661
217,10952.477847,10103.419117
218,10952.477847,10007.388875
219,10952.477847,10005.741723
220,10952.477847,9973.353004
221,10952.477847,10004.890932
222,10952.477847,10114.733614
223,10952.477847,10115.976593
224,10952.477847,10090.696401
225,10952.477847,10057.509111
226,10952.477847,10058.410696
227,10952.477847,10087.399578
228,10952.477847,10101.758250
229,10952.477847,10181.414917
230,10952.477847,10169.296553
231,10952.477847,10156.434237
232,10952.477847,10155.077776
233,10952.477847,10160.970105
234,10952.477847,10215.249406
235,10952.477847,10179.941393
236,10952.477847,10208.604153
237,10952.477847,10256.279355
238,10952.477847,10233.418445
239,10952.477847,10214.188256
240,10952.477847,10133.798365
241,10952.477847,10116.192936
242,10952.477847,10095.072195
243,10952.477847,10118.834809
244,10952.477847,10154.386016
245,10952.477847,10173.506867
246,10952.477847,10151.499761
247,10952.477847,10162.084825
248,10952.477847,10168.863600
249,10952.477847,10159.620036
250,10952.477847,10133.744467
251,10952.477847,10215.396146
252,10952.477847,10208.623468
253,10952.477847,10216.220363
254,10952.477847,10237.388997
255,10952.477847,10194.401619
256,10952.477847,10183.342221
257,10952.477847,10147.401829
258,10952.477847,10123.952701
259,10952.477847,10074.026883
260,10952.477847,10098.512636
261,10952.477847,10063.755130
262,10952.477847,10102.681298
263,10952.477847,10212.065052
264,10952.477847,10232.566392
265,10952.477847,10231.202577
266,10952.477847,10167.658214
267,10952.477847,10194.154039
268,10952.477847,10174.187161
269,10952.477847,10136.093105
270,10952.477847,10166.039891
271,10952.477847,10139.897586
272,10952.477847,10116.457631
273,10952.477847,10093.614983
274,10952.477847,10134.641322
275,10952.477847,10090.522073
276,10952.477847,10010.024788
277,10952.477847,10006.929581
278,10952.477847,10007.898777
279,10952.477847,10020.936347
280,10952.477847,9961.654333
281,10952.477847,9925.692050
282,10952.477847,9914.955158
283,10952.477847,9900.417557
284,10952.477847,9899.941222
285,10952.477847,9933.038505
286,10952.477847,10014.437488
287,10952.477847,10017.064627
288,10952.477847,10017.293761
289,10952.477847,10076.997191
290,10952.477847,10107.720974
291,10952.477847,10066.069733
292,10952.477847,10055.492211
293,10952.477847,10035.107198
294,10952.477847,10108.639636
295,10952.477847,10164.938775
296,10952.477847,10251.699015
297,10952.477847,10211.085018
298,10952.477847,10160.167289
299,10952.477847,10128.308058
